Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls
21,2008,1B,Josh Whitesell,26,7,9,7,1,2,0,0,1,1,0,0,1,2,0.286,0.444,0.714,1.159,190,5,0,1,0,0,0
22,2008,P,Dan Haren,27,33,85,76,8,16,7,0,0,6,0,0,3,15,0.211,0.238,0.303,0.54,37,23,1,0,5,1,0
23,2008,P,Brandon Webb,29,33,81,67,2,10,4,0,0,11,0,0,1,30,0.149,0.162,0.209,0.371,-6,14,0,0,13,0,0
24,2008,P,Randy Johnson,44,28,60,50,2,7,1,0,0,5,0,0,4,26,0.14,0.204,0.16,0.364,-5,8,0,0,6,0,0
25,2008,P,Micah Owings,25,35,58,52,7,15,2,0,1,3,0,0,5,21,0.288,0.351,0.385,0.735,88,20,2,0,1,0,0
26,2008,P,Doug Davis,32,25,50,42,0,4,0,0,0,3,0,0,0,13,0.095,0.095,0.095,0.19,-51,4,1,0,8,0,0
27,2008,P,Max Scherzer,23,17,15,13,1,0,0,0,0,0,0,0,1,4,0,0.071,0,0.071,-79,0,0,0,1,0,0
28,2008,P,Yusmeiro Petit,23,19,15,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,-100,0,0,0,2,0,0
29,2008,P,Édgar González,25,17,12,10,0,1,1,0,0,2,0,0,0,3,0.1,0.1,0.2,0.3,-26,2,0,0,2,0,0
30,2008,P,Chad Qualls,29,75,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
31,2008,P,Connor Robertson,26,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,2008,P,Billy Buckner,24,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
33,2008,P,Leo Rosales,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2008,P,Juan Cruz,29,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2008,P,Jailen Peguero,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2008,P,Brandon Lyon,28,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2008,P,Doug Slaten,28,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2008,P,Jon Rauch,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2008,P,Brandon Medders,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2008,P,Tony Pena,26,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2008,P,Wil Ledezma,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2007,C,Chris Snyder,26,110,380,326,37,82,20,0,13,47,0,1,40,67,0.252,0.342,0.433,0.775,94,141,9,7,3,4,3
2,2007,1B,Conor Jackson,25,130,477,415,56,118,29,1,15,60,2,2,53,50,0.284,0.368,0.467,0.836,109,194,8,4,2,3,2
3,2007,2B,Orlando Hudson,29,139,601,517,69,152,28,9,10,63,10,2,70,87,0.294,0.376,0.441,0.817,105,228,21,2,5,7,1
4,2007,SS,Stephen Drew,24,150,619,543,60,129,28,4,12,60,9,0,60,100,0.238,0.313,0.37,0.683,71,201,4,3,5,8,5
5,2007,3B,Mark Reynolds,23,111,414,366,62,102,20,4,17,62,0,1,37,129,0.279,0.349,0.495,0.843,109,181,5,5,1,5,4
6,2007,LF,Eric Byrnes,31,160,699,626,103,179,30,8,21,83,50,7,57,98,0.286,0.353,0.46,0.813,103,288,12,10,1,4,5
7,2007,CF,Chris Young,23,148,624,569,85,135,29,3,32,68,27,6,43,141,0.237,0.295,0.467,0.763,88,266,5,6,1,5,1
8,2007,RF,Carlos Quentin,24,81,263,229,29,49,16,0,5,31,2,2,18,54,0.214,0.298,0.349,0.647,63,80,5,11,1,4,1
9,2007,3B,Chad Tracy,27,76,260,227,30,60,18,2,7,35,0,0,29,43,0.264,0.346,0.454,0.8,100,103,8,1,0,3,4
10,2007,1B,Tony Clark,35,113,245,221,31,55,5,1,17,51,0,0,21,59,0.249,0.31,0.511,0.822,102,113,8,0,0,3,3
11,2007,C,Miguel Montero,23,84,244,214,30,48,7,0,10,37,0,0,20,35,0.224,0.292,0.397,0.689,72,85,7,3,1,6,2
12,2007,LF,Scott Hairston,27,76,199,176,21,39,13,1,3,16,2,0,19,37,0.222,0.301,0.358,0.659,65,63,4,1,3,0,0
13,2007,UT,Alberto Callaspo,24,56,156,144,10,31,8,0,0,7,1,1,9,14,0.215,0.265,0.271,0.535,36,39,8,1,1,1,0
14,2007,RF,Justin Upton,19,43,152,140,17,31,8,3,2,11,2,0,11,37,0.221,0.283,0.364,0.647,62,51,3,1,0,0,4
15,2007,MI,Augie Ojeda,32,57,132,113,16,31,2,2,1,12,1,0,15,13,0.274,0.354,0.354,0.708,80,40,1,0,2,2,3
16,2007,RF,Jeff Salazar,26,38,103,94,13,26,6,1,1,10,2,0,9,19,0.277,0.34,0.394,0.733,84,37,1,0,0,0,0
17,2007,UT,Robby Hammock,30,34,49,45,5,11,2,0,0,0,0,0,3,7,0.244,0.306,0.289,0.595,51,13,3,1,0,0,0
18,2007,IF,Jeff Cirillo,37,28,44,40,6,8,4,0,0,6,0,0,4,6,0.2,0.273,0.3,0.573,44,12,1,0,0,0,0
19,2007,OF,Jeff DaVanon,33,13,33,26,5,4,2,0,0,1,1,1,5,8,0.154,0.303,0.231,0.534,38,6,1,1,0,1,0
20,2007,2B,Emilio Bonifácio,22,11,27,23,2,5,1,0,0,2,0,1,4,3,0.217,0.333,0.261,0.594,53,6,0,0,0,0,0
21,2007,3B,Brian Barden,26,8,12,12,0,1,0,0,0,0,0,0,0,3,0.083,0.083,0.083,0.167,-58,1,0,0,0,0,0
22,2007,SS,Jason Smith,29,2,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,27,1,0,0,0,0,0
23,2007,2B,Donnie Sadler,32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
24,2007,P,Brandon Webb,28,32,82,73,1,6,2,0,0,3,0,0,1,31,0.082,0.095,0.11,0.204,-49,8,3,0,8,0,0
25,2007,P,Liván Hernández,32,33,79,75,9,16,1,0,1,5,0,0,0,7,0.213,0.211,0.267,0.477,19,20,3,0,3,1,0
26,2007,P,Doug Davis,31,32,68,58,3,4,0,0,0,1,0,0,1,21,0.069,0.085,0.069,0.154,-61,4,0,0,9,0,0
27,2007,P,Micah Owings,24,34,64,60,9,20,7,1,4,15,0,0,2,16,0.333,0.349,0.683,1.033,152,41,0,0,1,1,0
28,2007,P,Édgar González,24,30,24,21,0,4,0,0,0,0,0,0,0,4,0.19,0.19,0.19,0.381,-3,4,0,0,3,0,0
29,2007,P,Randy Johnson,43,10,18,15,0,1,0,0,0,0,0,0,1,7,0.067,0.125,0.067,0.192,-50,1,0,0,2,0,0
30,2007,P,Yusmeiro Petit,22,14,18,16,2,1,0,0,0,0,0,0,0,8,0.063,0.063,0.063,0.125,-68,1,1,0,2,0,0
31,2007,P,Tony Pena,25,72,4,4,1,1,0,0,0,1,0,0,0,2,0.25,0.25,0.25,0.5,27,1,0,0,0,0,0
32,2007,P,Juan Cruz,28,50,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
33,2007,P,Dustin Nippert,26,36,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
34,2007,P,Dana Eveland,23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,2007,P,Byung-Hyun Kim,28,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
36,2007,P,Randy Choate,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2007,P,Jailen Peguero,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2007,P,Brandon Lyon,27,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2007,P,J.D. Durbin,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2007,P,Joe Kennedy,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2007,P,Doug Slaten,27,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2007,P,Bob Wickman,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2007,P,Brandon Medders,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2007,P,Enrique González,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2007,P,Jose Valverde,29,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2007,P,Bill Murphy,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2007,P,Mike Schultz,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2006,C,Johnny Estrada,30,115,443,414,43,125,26,0,11,71,0,0,13,40,0.302,0.328,0.444,0.772,92,184,17,7,1,8,7
2,2006,1B,Conor Jackson,24,140,556,485,75,141,26,1,15,79,1,0,54,73,0.291,0.368,0.441,0.809,103,214,18,9,1,7,2
3,2006,2B,Orlando Hudson,28,157,650,579,87,166,34,9,15,67,9,6,61,78,0.287,0.354,0.454,0.809,102,263,17,2,4,4,5
4,2006,SS,Craig Counsell,35,105,415,372,56,95,14,4,4,30,15,8,31,47,0.255,0.327,0.347,0.674,70,129,1,9,2,1,0
5,2006,3B,Chad Tracy,26,154,662,597,91,168,41,0,20,80,5,1,54,129,0.281,0.343,0.451,0.794,98,269,11,5,1,5,5
6,2006,LF,Luis Gonzalez,38,153,668,586,93,159,52,2,15,73,0,1,69,58,0.271,0.352,0.444,0.795,99,260,14,7,0,6,10
7,2006,CF,Eric Byrnes,30,143,606,562,82,150,37,3,26,79,25,3,34,88,0.267,0.313,0.482,0.795,96,271,12,5,2,3,2
8,2006,RF,Shawn Green,33,115,462,417,59,118,22,3,11,51,4,4,37,64,0.283,0.348,0.429,0.778,95,179,9,6,0,2,4
9,2006,CF,Jeff DaVanon,32,87,256,221,38,64,12,4,5,35,10,4,31,42,0.29,0.371,0.448,0.819,105,99,6,0,0,4,0
10,2006,SS,Stephen Drew,23,59,226,209,27,66,13,7,5,23,2,0,14,50,0.316,0.357,0.517,0.874,117,108,1,0,2,1,4
11,2006,IF,Damion Easley,36,90,220,189,24,44,6,1,9,28,1,1,21,30,0.233,0.323,0.418,0.741,85,79,4,5,3,2,0
12,2006,C,Chris Snyder,25,61,213,184,19,51,9,0,6,32,0,0,22,39,0.277,0.349,0.424,0.773,94,78,5,1,1,5,4
13,2006,RF,Carlos Quentin,23,57,191,166,23,42,13,3,9,32,1,0,15,34,0.253,0.342,0.53,0.872,115,88,6,8,1,1,2
14,2006,1B,Tony Clark,34,79,147,132,13,26,4,0,6,16,0,0,13,40,0.197,0.279,0.364,0.643,60,48,5,2,0,0,2
15,2006,UT,Andy Green,28,73,102,86,15,16,4,0,1,6,1,0,13,20,0.186,0.293,0.267,0.56,43,23,0,0,3,0,0
16,2006,CF,Chris Young,22,30,78,70,10,17,4,0,2,10,2,1,6,12,0.243,0.308,0.386,0.693,73,27,0,1,0,1,0
17,2006,IF,Alberto Callaspo,23,23,47,42,2,10,1,1,0,6,0,1,4,6,0.238,0.298,0.31,0.607,54,13,0,0,0,1,0
18,2006,C,Miguel Montero,22,6,17,16,0,4,1,0,0,3,0,0,1,3,0.25,0.294,0.313,0.607,53,5,0,0,0,0,0
19,2006,LF,Scott Hairston,26,9,16,15,2,6,2,0,0,2,0,0,1,5,0.4,0.438,0.533,0.971,143,8,1,0,0,0,0
20,2006,1B,Robby Hammock,29,1,2,2,1,1,1,0,0,0,0,0,0,0,0.5,0.5,1,1.5,265,2,0,0,0,0,0
21,2006,P,Brandon Webb,27,30,86,73,4,11,2,0,0,9,0,0,2,33,0.151,0.171,0.178,0.349,-12,13,1,0,10,1,0
22,2006,P,Miguel Batista,35,32,72,60,3,6,1,0,0,4,0,0,2,31,0.1,0.127,0.117,0.244,-38,7,2,0,9,1,0
23,2006,P,Claudio Vargas,28,30,60,51,1,5,3,0,0,4,0,0,0,11,0.098,0.098,0.157,0.255,-37,8,3,0,9,0,0
24,2006,P,Enrique González,23,22,35,32,3,9,1,0,0,3,0,0,0,8,0.281,0.281,0.313,0.594,50,10,1,0,3,0,0
25,2006,P,Liván Hernández,31,11,27,23,0,2,1,0,0,0,0,0,0,4,0.087,0.087,0.13,0.217,-46,3,0,0,4,0,0
26,2006,P,Juan Cruz,27,31,26,21,0,0,0,0,0,0,0,0,3,9,0,0.125,0,0.125,-64,0,1,0,2,0,0
27,2006,P,Orlando Hernández,40,9,14,11,0,3,1,0,0,0,0,0,1,0,0.273,0.333,0.364,0.697,76,4,0,0,2,0,0
28,2006,P,Édgar González,23,10,13,13,0,1,0,0,0,0,0,0,0,4,0.077,0.077,0.077,0.154,-61,1,0,0,0,0,0
29,2006,P,Russ Ortiz,32,6,6,4,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,-43,0,0,0,1,0,0
30,2006,P,Jason Grimsley,38,19,4,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
31,2006,P,Brandon Medders,26,56,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
32,2006,P,Dustin Nippert,25,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
33,2006,P,Tony Pena,24,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
34,2006,P,Brandon Lyon,26,66,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
35,2006,P,Casey Daigle,25,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
36,2006,P,Mike Koplove,29,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
37,2006,P,Greg Aquino,28,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,1,0,0,0,0
38,2006,P,Randy Choate,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2006,P,Doug Slaten,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2006,P,Kevin Jarvis,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2006,P,Jeff Bajenaru,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2006,P,Jose Valverde,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2006,P,Luis Vizcaino,31,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2006,P,Terry Mulholland,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2006,P,Jorge Julio,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2005,C,Chris Snyder,24,115,373,326,24,66,14,0,6,28,0,1,40,87,0.202,0.297,0.301,0.598,56,98,6,4,3,0,5
2,2005,1B,Chad Tracy,25,145,553,503,73,155,34,4,27,72,3,1,35,78,0.308,0.359,0.553,0.911,132,278,10,8,1,6,4
3,2005,2B,Craig Counsell,34,150,670,578,85,148,34,4,9,42,26,7,78,69,0.256,0.35,0.375,0.726,89,217,8,8,2,4,4
4,2005,SS,Royce Clayton,35,143,573,522,59,141,28,4,2,44,13,3,38,105,0.27,0.32,0.351,0.67,74,183,19,1,10,2,0
5,2005,3B,Troy Glaus,28,149,634,538,78,139,29,1,37,97,4,2,84,145,0.258,0.363,0.522,0.885,126,281,7,7,0,5,2
6,2005,LF,Luis Gonzalez,37,155,672,579,90,157,37,0,24,79,4,1,78,90,0.271,0.366,0.459,0.825,113,266,14,11,0,4,12
7,2005,CF,Luis Terrero,25,88,184,161,23,37,6,1,4,20,3,2,14,40,0.23,0.313,0.354,0.667,73,57,5,6,2,1,0
8,2005,RF,Shawn Green,32,158,656,581,87,166,37,4,22,73,8,4,62,95,0.286,0.355,0.477,0.832,114,277,18,5,0,8,6
9,2005,1B,Tony Clark,33,130,393,349,47,106,22,2,30,87,0,0,37,88,0.304,0.366,0.636,1.003,154,222,10,1,0,6,6
10,2005,IF,Alex Cintrón,26,122,348,330,36,90,19,2,8,48,1,2,12,33,0.273,0.298,0.415,0.713,83,137,8,1,2,3,3
11,2005,CF,Quinton McCracken,34,134,246,215,23,51,4,3,1,13,4,0,23,35,0.237,0.313,0.298,0.61,60,64,4,1,6,1,4
12,2005,CF,José Cruz,31,64,245,202,23,43,9,0,12,28,0,1,42,54,0.213,0.347,0.436,0.783,102,88,6,0,0,1,2
13,2005,C,Kelly Stinnett,35,59,143,129,15,32,4,0,6,12,0,0,12,32,0.248,0.317,0.419,0.736,89,54,4,1,1,0,3
14,2005,1B,Conor Jackson,23,40,99,85,8,17,3,0,2,8,0,0,12,11,0.2,0.303,0.306,0.609,59,26,6,1,0,1,0
15,2005,C,Koyie Hill,26,34,91,78,6,17,5,0,0,6,0,1,11,27,0.218,0.308,0.282,0.59,55,22,0,0,0,2,0
16,2005,UT,Andy Green,27,17,39,31,5,7,1,0,0,2,0,0,7,3,0.226,0.359,0.258,0.617,64,8,1,0,0,1,0
17,2005,2B,Matt Kata,27,30,38,31,6,6,2,1,0,0,0,1,5,4,0.194,0.306,0.323,0.628,64,10,0,0,2,0,0
18,2005,DH,Scott Hairston,25,15,20,20,0,2,1,0,0,0,0,0,0,6,0.1,0.1,0.15,0.25,-36,3,1,0,0,0,0
19,2005,P,Brandon Webb,26,31,76,62,0,6,0,0,0,2,0,0,1,30,0.097,0.111,0.097,0.208,-45,6,0,0,13,0,0
20,2005,P,Javier Vazquez,28,31,72,63,2,15,1,0,1,2,0,0,3,10,0.238,0.273,0.302,0.574,49,19,0,0,6,0,0
21,2005,P,Brad Halsey,24,27,60,48,2,3,0,0,0,2,0,0,6,18,0.063,0.167,0.063,0.229,-37,3,0,0,6,0,0
22,2005,P,Claudio Vargas,27,19,43,34,1,3,0,0,0,3,0,0,2,7,0.088,0.139,0.088,0.227,-39,3,2,0,7,0,0
23,2005,P,Russ Ortiz,31,23,43,34,1,7,1,0,0,1,0,0,3,9,0.206,0.27,0.235,0.506,33,8,1,0,6,0,0
24,2005,P,Shawn Estes,32,18,31,29,2,2,0,1,0,0,1,0,0,7,0.069,0.069,0.138,0.207,-48,4,1,0,2,0,0
25,2005,P,Mike Gosling,24,13,7,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,1,0,0
26,2005,P,Lance Cormier,24,65,7,6,0,2,0,0,0,1,0,0,0,1,0.333,0.333,0.333,0.667,74,2,1,0,1,0,0
27,2005,P,Dustin Nippert,24,3,5,4,0,1,0,0,0,0,0,0,1,3,0.25,0.4,0.25,0.65,74,1,0,0,0,0,0
28,2005,P,Mike Koplove,28,44,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
29,2005,P,Tim Worrell,37,32,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
30,2005,P,Brian Bruney,23,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
31,2005,P,Brandon Medders,25,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
32,2005,P,Kerry Ligtenberg,34,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
33,2005,P,Randy Choate,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2005,P,Brandon Lyon,25,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2005,P,Matt Herges,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2005,P,Greg Aquino,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2005,P,Jose Valverde,27,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2005,P,Jason Bulger,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2005,P,Javier López,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2005,P,Édgar González,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2005,P,Armando Almanza,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2005,P,Oscar Villarreal,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2005,P,Buddy Groom,39,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2004,C,Juan Brito,24,54,184,171,17,35,7,0,3,12,1,0,9,41,0.205,0.246,0.298,0.544,37,51,6,1,1,2,1
2,2004,1B,Shea Hillenbrand,28,148,604,562,68,174,36,3,15,80,2,0,24,49,0.31,0.348,0.464,0.812,104,261,18,12,0,6,2
3,2004,2B,Scott Hairston,24,101,364,339,39,84,15,6,13,29,3,3,21,88,0.248,0.293,0.442,0.735,83,150,4,1,2,1,0
4,2004,SS,Alex Cintrón,25,154,613,564,56,148,31,7,4,49,3,3,31,59,0.262,0.301,0.363,0.665,68,205,11,2,12,4,2
5,2004,3B,Chad Tracy,24,143,532,481,45,137,29,3,8,53,2,3,45,60,0.285,0.343,0.407,0.75,90,196,11,0,1,5,3
6,2004,LF,Luis Gonzalez,36,105,451,379,69,98,28,5,17,48,2,2,68,58,0.259,0.373,0.493,0.866,118,187,9,2,0,2,11
7,2004,CF,Steve Finley,39,104,456,404,61,111,16,1,23,48,8,4,40,52,0.275,0.338,0.49,0.828,107,198,9,1,6,5,1
8,2004,RF,Danny Bautista,32,141,582,539,64,154,27,1,11,65,6,2,35,66,0.286,0.332,0.401,0.733,85,216,20,4,1,3,2
9,2004,CF,Luis Terrero,24,62,255,229,21,56,14,0,4,14,10,2,20,78,0.245,0.319,0.358,0.677,72,82,5,5,1,0,2
10,2004,C,Robby Hammock,27,62,210,195,22,47,16,2,4,18,3,3,13,39,0.241,0.287,0.405,0.692,73,79,9,0,1,1,6
11,2004,2B,Matt Kata,26,42,178,162,17,40,9,2,2,13,4,1,13,29,0.247,0.301,0.364,0.665,68,59,1,0,1,1,2
12,2004,LF,Quinton McCracken,33,55,172,156,20,45,11,1,2,13,2,4,13,23,0.288,0.341,0.41,0.751,90,64,2,0,2,1,0
13,2004,2B,Roberto Alomar,36,38,125,110,14,34,5,2,3,16,0,2,12,18,0.309,0.382,0.473,0.855,116,52,2,1,2,0,0
14,2004,UT,Andy Green,26,46,119,109,13,22,2,1,1,4,1,1,5,17,0.202,0.241,0.266,0.507,29,29,2,1,3,1,0
15,2004,UT,Tim Olson,25,48,114,97,8,18,7,0,2,5,1,0,16,18,0.186,0.301,0.32,0.62,58,31,4,0,1,0,0
16,2004,OF,Doug DeVore,26,50,114,107,5,24,3,2,3,13,1,1,7,31,0.224,0.272,0.374,0.646,62,40,1,0,0,0,0
17,2004,C,Brent Mayne,36,36,111,94,9,24,6,1,0,10,1,0,13,17,0.255,0.343,0.34,0.683,75,32,5,0,3,1,4
18,2004,C,Chris Snyder,23,29,110,96,10,23,6,0,5,15,0,0,13,25,0.24,0.327,0.458,0.786,97,44,0,0,0,1,1
19,2004,1B,Richie Sexson,29,23,104,90,20,21,4,0,9,23,0,0,14,21,0.233,0.337,0.578,0.914,126,52,2,0,0,0,0
20,2004,1B,Carlos Baerga,35,79,94,85,6,20,2,0,2,11,0,0,6,12,0.235,0.309,0.329,0.638,62,28,7,3,0,0,0
21,2004,SS,Jerry Gil,21,29,88,86,3,15,2,1,0,8,2,0,0,33,0.174,0.182,0.221,0.403,2,19,2,1,0,1,0
22,2004,OF,Josh Kroeger,21,22,55,54,5,9,3,0,0,2,0,1,1,21,0.167,0.182,0.222,0.404,2,12,2,0,0,0,0
23,2004,1B,Alan Zinter,36,28,40,34,2,7,2,0,1,6,0,0,5,15,0.206,0.3,0.353,0.653,65,12,0,0,0,1,0
24,2004,C,Koyie Hill,25,13,38,36,3,9,1,0,1,6,1,0,2,6,0.25,0.289,0.361,0.651,64,13,1,0,0,0,1
25,2004,DH,Greg Colbrunn,34,20,28,27,1,3,0,0,0,1,0,0,1,5,0.111,0.143,0.111,0.254,-34,3,0,0,0,0,0
26,2004,UT,Donnie Sadler,29,18,24,23,1,3,2,0,0,0,0,0,1,7,0.13,0.167,0.217,0.384,-3,5,0,0,0,0,0
27,2004,C,Bobby Estalella,29,7,14,14,2,2,0,0,2,4,0,0,0,6,0.143,0.143,0.571,0.714,69,8,0,0,0,0,0
28,2004,P,Randy Johnson,40,33,87,80,1,10,3,0,0,6,0,0,4,37,0.125,0.167,0.163,0.329,-16,13,1,0,3,0,0
29,2004,P,Brandon Webb,25,33,71,64,3,6,0,0,0,4,0,0,3,36,0.094,0.134,0.094,0.228,-40,6,0,0,4,0,0
30,2004,P,Casey Fossum,26,27,46,42,3,4,0,0,0,0,0,0,1,16,0.095,0.116,0.095,0.212,-45,4,1,0,3,0,0
31,2004,P,Steve Sparks,38,27,32,31,0,4,0,0,0,1,0,0,0,14,0.129,0.129,0.129,0.258,-34,4,0,0,1,0,0
32,2004,P,Elmer Dessens,33,36,25,18,0,3,2,0,0,0,0,0,3,3,0.167,0.286,0.278,0.563,44,5,1,0,4,0,0
33,2004,P,Casey Daigle,23,11,18,17,2,2,2,0,0,0,0,0,0,7,0.118,0.118,0.235,0.353,-13,4,1,0,1,0,0
34,2004,P,Édgar González,21,10,15,13,0,2,0,0,0,0,0,0,0,2,0.154,0.214,0.154,0.368,-4,2,0,1,1,0,0
35,2004,P,Steve Randolph,30,45,12,12,4,5,3,0,0,3,0,0,0,3,0.417,0.417,0.667,1.083,169,8,0,0,0,0,0
36,2004,P,Lance Cormier,23,17,10,8,1,2,1,0,0,1,0,0,1,2,0.25,0.333,0.375,0.708,80,3,0,0,1,0,0
37,2004,P,Mike Gosling,23,6,8,6,0,0,0,0,0,0,0,0,1,4,0,0.143,0,0.143,-59,0,0,0,1,0,0
